,location,location_next,location_2,location_3,location_4
3245,spices,dairy,drinks,checkout,checkout
3260,dairy,drinks,checkout,checkout,drinks
3279,drinks,checkout,checkout,drinks,checkout
3306,checkout,checkout,drinks,checkout,checkout
3400,dairy,drinks,checkout,checkout,dairy
3436,drinks,checkout,checkout,dairy,drinks
3443,checkout,checkout,dairy,drinks,checkout
3245,spices,dairy,drinks,checkout,checkout
3260,dairy,drinks,checkout,checkout,dairy
3279,drinks,checkout,checkout,dairy,checkout
3306,checkout,checkout,dairy,checkout,checkout
3266,fruit,dairy,checkout,checkout,dairy
3278,dairy,checkout,checkout,dairy,spices
3293,checkout,checkout,dairy,spices,checkout
3260,spices,dairy,spices,checkout,checkout
3267,dairy,spices,checkout,checkout,fruit
3313,spices,checkout,checkout,fruit,dairy
3330,checkout,checkout,fruit,dairy,drinks
3249,dairy,fruit,dairy,drinks,fruit
3266,fruit,dairy,drinks,fruit,checkout
3283,dairy,drinks,fruit,checkout,checkout
3359,drinks,fruit,checkout,checkout,checkout
3362,fruit,checkout,checkout,checkout,checkout
3439,checkout,checkout,checkout,checkout,fruit
3403,fruit,checkout,checkout,fruit,dairy
3406,checkout,checkout,fruit,dairy,drinks
3249,dairy,fruit,dairy,drinks,fruit
3266,fruit,dairy,drinks,fruit,checkout
3283,dairy,drinks,fruit,checkout,checkout
3359,drinks,fruit,checkout,checkout,dairy
3362,fruit,checkout,checkout,dairy,drinks
3439,checkout,checkout,dairy,drinks,spices
3267,fruit,dairy,drinks,spices,checkout
3279,dairy,drinks,spices,checkout,checkout
3372,drinks,spices,checkout,checkout,drinks
3389,spices,checkout,checkout,drinks,checkout
3407,checkout,checkout,drinks,checkout,checkout
3261,spices,drinks,checkout,checkout,checkout
3273,drinks,checkout,checkout,checkout,checkout
3277,checkout,checkout,checkout,checkout,checkout
3250,drinks,checkout,checkout,checkout,checkout
3271,checkout,checkout,checkout,checkout,checkout
3404,drinks,checkout,checkout,checkout,checkout
3414,checkout,checkout,checkout,checkout,checkout
3250,drinks,checkout,checkout,checkout,checkout
3271,checkout,checkout,checkout,checkout,checkout
3268,fruit,checkout,checkout,checkout,checkout
3294,checkout,checkout,checkout,checkout,checkout
3268,dairy,checkout,checkout,checkout,checkout
3278,checkout,checkout,checkout,checkout,dairy
3255,spices,checkout,checkout,dairy,checkout
3261,checkout,checkout,dairy,checkout,checkout
3407,fruit,dairy,checkout,checkout,checkout
3415,dairy,checkout,checkout,checkout,checkout
3458,checkout,checkout,checkout,checkout,spices
3255,spices,checkout,checkout,spices,drinks
3261,checkout,checkout,spices,drinks,fruit
3282,fruit,spices,drinks,fruit,drinks
3322,spices,drinks,fruit,drinks,spices
3336,drinks,fruit,drinks,spices,dairy
3360,fruit,drinks,spices,dairy,fruit
3373,drinks,spices,dairy,fruit,dairy
3390,spices,dairy,fruit,dairy,spices
3415,dairy,fruit,dairy,spices,drinks
3424,fruit,dairy,spices,drinks,checkout
3439,dairy,spices,drinks,checkout,checkout
3446,spices,drinks,checkout,checkout,dairy
3453,drinks,checkout,checkout,dairy,drinks
3479,checkout,checkout,dairy,drinks,fruit
3274,fruit,dairy,drinks,fruit,dairy
3279,dairy,drinks,fruit,dairy,checkout
3292,drinks,fruit,dairy,checkout,checkout
3299,fruit,dairy,checkout,checkout,drinks
3309,dairy,checkout,checkout,drinks,fruit
3314,checkout,checkout,drinks,fruit,checkout
3256,fruit,drinks,fruit,checkout,checkout
3262,drinks,fruit,checkout,checkout,checkout
3267,fruit,checkout,checkout,checkout,checkout
3272,checkout,checkout,checkout,checkout,drinks
3408,drinks,checkout,checkout,drinks,fruit
3422,checkout,checkout,drinks,fruit,checkout
3256,fruit,drinks,fruit,checkout,checkout
3262,drinks,fruit,checkout,checkout,spices
3267,fruit,checkout,checkout,spices,fruit
